condition_index,condition_name,run_id,seed,structure,leader_style,population_size,max_iterations,adaptive_intimacy,use_rl_leader,num_interventions,final_avg_member_emotion,final_min_member_emotion,final_max_member_emotion,mean_rl_reward,mean_rl_quality
5,,99,18,random,Low_Initially_Constrained,11,235,True,True,0,-7.330488763109295e-06,-1.3688247481169841e-05,-6.931231778808861e-07,0.0009697067774183997,-0.02002667235103856
5,,100,19,random,Low_Initially_Constrained,11,235,True,True,0,-0.024423813391786394,-0.04296332119489424,-0.009824844393228758,0.0007860759975424792,-0.07047927562798877
6,,101,0,random,Free,11,235,True,True,208,-0.6793990844676613,-0.9996880116481195,-0.15906914053743942,-0.002121817212274899,-0.6357661478894777
6,,102,1,random,Free,11,235,True,True,184,0.19928158091612305,0.10315232436303666,0.3780347068857726,0.0015913175641946334,0.0781922072337004
6,,103,2,random,Free,11,235,True,True,208,-0.7638719435808121,-0.9996770453251823,-0.23232741117813424,-0.0024928941377089114,-0.7283862321854908
6,,104,3,random,Free,11,235,True,True,202,-0.4224912226681502,-0.9937840461064505,-0.04164150923916487,-0.001029626754684239,-0.4581493547237692
6,,105,4,random,Free,11,235,True,True,109,0.028489153411874617,0.014684785457881693,0.04647119667236565,0.0012677355328445865,-0.05815392766321653
6,,106,5,random,Free,11,235,True,True,208,-0.6190540724816722,-0.9986479932237664,-0.24536504180059013,-0.0019256174841317875,-0.5287089801075597
6,,107,6,random,Free,11,235,True,True,223,-0.10858201278078712,-0.1914428011039914,-0.05176292377682137,0.00040496822698299004,-0.11690828410342584
6,,108,7,random,Free,11,235,True,True,215,0.12170794103978737,-0.014305412909341838,0.1838824808390182,0.0013379291368134367,-0.04147242726672927
6,,109,8,random,Free,11,235,True,True,97,0.0675872553453906,0.04385123309515055,0.12690138862018557,0.0015227951536267669,-0.02869926545276982
6,,110,9,random,Free,11,235,True,True,211,-0.6341118993686407,-0.9976201103849414,-0.1613017542871144,-0.0017621467975838913,-0.6368090440428285
6,,111,10,random,Free,11,235,True,True,210,-0.8667555233806132,-0.996580786932813,-0.5091464560905097,-0.0029854329170122536,-0.8216332507695412
6,,112,11,random,Free,11,235,True,True,165,-0.00462259918208977,-0.03029030438756297,0.015508807609446593,0.0011197609246032763,-0.055088298693614375
6,,113,12,random,Free,11,235,True,True,217,-0.8186149728770454,-0.9987271708872782,-0.2398134958270172,-0.0024403399594726625,-0.7697732469986936
6,,114,13,random,Free,11,235,True,True,212,-0.6244263843376534,-0.998238518915497,-0.15650771352942103,-0.001753898985456155,-0.60370588561739
6,,115,14,random,Free,11,235,True,True,210,-0.8924219238790589,-0.9976424453867719,-0.6533816737634458,-0.0031142790236589357,-0.7835820986531361
6,,116,15,random,Free,11,235,True,True,222,-0.7471181952743149,-0.9974141946382509,-0.08721804434701441,-0.0023510945388610168,-0.7407400665723944
6,,117,16,random,Free,11,235,True,True,217,-0.7136177722024046,-0.9978862707304749,-0.1597811946615833,-0.0023086746821329874,-0.6592725736329039
6,,118,17,random,Free,11,235,True,True,108,0.06891845855965592,0.026974184457755818,0.11156055477285493,0.0013138534444190595,-0.08243737042364968
6,,119,18,random,Free,11,235,True,True,147,0.061919892784391826,0.01529203805722201,0.12813718963842988,0.0012493166378794555,0.02105780894824287
6,,120,19,random,Free,11,235,True,True,105,0.040192813752183046,0.0036235605520898596,0.07115287799164526,0.001060415138778489,-0.04581067198482187
7,,121,0,community,No_Intervention,11,235,True,True,0,-0.7121870263497053,-1.0,-0.20074728314839305,,
7,,122,1,community,No_Intervention,11,235,True,True,0,-0.15682851057919392,-0.4785157263204628,-0.053281749565666496,,
7,,123,2,community,No_Intervention,11,235,True,True,0,-0.7909205600195918,-1.0,-0.26121812639327324,,
7,,124,3,community,No_Intervention,11,235,True,True,0,-0.4665558834550921,-1.0,-0.05077035535627637,,
7,,125,4,community,No_Intervention,11,235,True,True,0,-0.016958962988970726,-0.031616638031203056,-0.006803821035102862,,
7,,126,5,community,No_Intervention,11,235,True,True,0,-0.757640439072351,-1.0,-0.3152111337146467,,
7,,127,6,community,No_Intervention,11,235,True,True,0,-0.2635988857057753,-0.43211913400470686,-0.1558348922684103,,
7,,128,7,community,No_Intervention,11,235,True,True,0,-0.7151208734354761,-1.0,-0.15853126266779133,,
7,,129,8,community,No_Intervention,11,235,True,True,0,-0.0010670862664512288,-0.0024864173676653976,-0.0006276412569497484,,
7,,130,9,community,No_Intervention,11,235,True,True,0,-0.6550347092774442,-1.0,-0.17149168814450388,,
7,,131,10,community,No_Intervention,11,235,True,True,0,-0.8897028554765807,-1.0,-0.5958426643627209,,
7,,132,11,community,No_Intervention,11,235,True,True,0,-0.0330152039604873,-0.07085424858428672,-0.011690101675823593,,
7,,133,12,community,No_Intervention,11,235,True,True,0,-0.8312280153977152,-1.0,-0.2594299693583509,,
